inci_name,korean_name,synonyms_ko,function_ko,concerns_ko,regulatory_class,wow_moment,verified,notes
Water,정제수,물;정제수,기타,,일반,N,N,거의 모든 화장품의 베이스
Hyaluronic Acid,히알루론산,히알루론산;수분;촉촉,보습,건조;수분부족,일반,Y,N,K-beauty 대표 보습성분
Sodium Hyaluronate,소듐히알루로네이트,히알루론산나트륨;저분자히알루론산,보습,건조;수분부족,일반,Y,N,저분자형 침투성↑
Glycerin,글리세린,글리세린;보습베이스,보습,건조,일반,N,N,
Butylene Glycol,부틸렌글라이콜,부틸렌글라이콜,보습,건조,일반,N,N,용제 겸 보습제
Ceramide NP,세라마이드엔피,세라마이드;장벽강화;세라마이드NP,보습,건조;민감성;장벽손상,일반,Y,N,피부장벽 핵심
Ceramide AP,세라마이드에이피,세라마이드AP,보습,건조;민감성;장벽손상,일반,N,N,
Ceramide EOP,세라마이드이오피,세라마이드EOP,보습,건조;장벽손상,일반,N,N,
Squalane,스쿠알란,스쿠알란;식물성스쿠알란,보습,건조,일반,Y,N,식물성(올리브유래) 표기 강조
Panthenol,판테놀,판테놀;프로비타민B5,진정,건조;자극;붉은기,일반,Y,N,
Sodium PCA,소듐피씨에이,피씨에이소듐;PCA소듐,보습,건조,일반,N,N,
Trehalose,트레할로스,트레할로스,보습,건조,일반,N,N,
Beta-Glucan,베타글루칸,베타글루칸;귀리유래,진정,민감성;붉은기,일반,N,N,
Aloe Barbadensis Leaf Extract,알로에베라잎추출물,알로에베라;알로에추출물,진정,진정;수분부족;홍조,일반,Y,N,
Snail Secretion Filtrate,달팽이분비물여과물,달팽이분비물;달팽이크림;스네일,진정,재생;흉터;여드름자국,일반,Y,N,K-beauty 시그니처
Honey Extract,꿀추출물,꿀;프로폴리스,보습,건조;영양공급,일반,N,N,
Niacinamide,나이아신아마이드,나이아신아마이드;비타민B3,미백,기미;잡티;칙칙함;색소침착,미백고시,Y,N,식약처 미백 고시 성분
Arbutin,알부틴,알부틴,미백,기미;잡티;색소침착,미백고시,Y,N,식약처 미백 고시 성분
Alpha-Arbutin,알파알부틴,알파알부틴,미백,기미;색소침착,일반,N,N,식약처 고시는 알부틴(베타) 기준
Ascorbic Acid,아스코빅애씨드,비타민C;아스코르빅애씨드;순수비타민C,미백,기미;칙칙함;광노화,미백고시,Y,N,순수형은 불안정 - 시연시 안정화형 우선
Ascorbyl Glucoside,아스코빌글루코사이드,아스코빌글루코사이드;비타민C유도체,미백,기미;칙칙함,미백고시,Y,N,식약처 미백 고시 성분
Ethyl Ascorbic Acid,에칠아스코빅애씨드,에칠아스코빅애씨드;비타민C유도체,미백,기미;칙칙함,미백고시,Y,N,식약처 미백 고시 성분
Tranexamic Acid,트라넥사믹애씨드,트라넥사믹애씨드;트라넥삼산,미백,기미;색소침착,일반,N,N,의약품 영역 표기 검수 필요
Glutathione,글루타치온,글루타치온,미백,기미;칙칙함,일반,N,N,
Licorice Root Extract,감초뿌리추출물,감초추출물;감초;진정,진정,민감성;홍조;칙칙함,일반,N,N,
Mulberry Extract,뽕나무추출물,뽕나무추출물;상백피,미백,기미,일반,N,N,
Retinol,레티놀,레티놀;비타민A,주름개선,주름;탄력;광노화,주름개선고시,Y,N,식약처 주름개선 고시 성분
Retinyl Palmitate,레티닐팔미테이트,레티닐팔미테이트,주름개선,주름;탄력,주름개선고시,N,N,식약처 주름개선 고시 성분
Retinyl Acetate,레티닐아세테이트,레티닐아세테이트,주름개선,주름,주름개선고시,N,N,식약처 주름개선 고시 성분
Adenosine,아데노신,아데노신,주름개선,주름;탄력,주름개선고시,Y,N,식약처 주름개선 고시 성분
Bakuchiol,바쿠치올,바쿠치올;식물성레티놀,주름개선,주름;민감성,일반,Y,N,레티놀 대체 - 임산부 친화 시연 포인트
Polypeptide-1,폴리펩타이드원,펩타이드;폴리펩타이드,주름개선,주름;탄력,일반,N,N,
Acetyl Hexapeptide-8,아세틸헥사펩타이드-8,아르지렐린;아세틸헥사펩타이드,주름개선,주름;표정주름,일반,N,N,상품명 아르지렐린 더 익숙
Ubiquinone,유비퀴논,코엔자임Q10;유비퀴논;코큐텐,항산화,주름;광노화,일반,N,N,
sh-Oligopeptide-1,에스에이치-올리고펩타이드원,EGF;상피세포성장인자,주름개선,주름;재생,일반,N,N,
Idebenone,이데베논,이데베논,항산화,주름;광노화,일반,N,N,
Centella Asiatica Extract,병풀추출물,병풀;시카;센텔라,진정,민감성;홍조;자극;여드름자국,일반,Y,N,시카 카테고리 핵심 - 한국어 "시카"가 일상 표현
Madecassoside,마데카소사이드,마데카소사이드;시카,진정,민감성;재생,일반,Y,N,병풀 활성성분
Asiaticoside,아시아티코사이드,아시아티코사이드,진정,민감성;재생,일반,N,N,
Asiatic Acid,아시아틱애씨드,아시아틱애씨드,진정,민감성,일반,N,N,
Allantoin,알란토인,알란토인,진정,민감성;자극;재생,일반,N,N,
Bisabolol,비사보롤,비사보롤;카모마일유래,진정,민감성;홍조,일반,N,N,
Chamomile Flower Extract,카모마일꽃추출물,카모마일;캐모마일,진정,민감성;홍조,일반,N,N,
Camellia Sinensis Leaf Extract,녹차잎추출물,녹차추출물;녹차;그린티,항산화,진정;피지조절,일반,Y,N,
Artemisia Princeps Leaf Extract,쑥잎추출물,쑥추출물;쑥;무공해쑥,진정,민감성;진정,일반,Y,N,한국 토종 식물 강조
Houttuynia Cordata Extract,어성초추출물,어성초;어성초추출물,진정,여드름;피지;진정,일반,N,N,
